nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
"(0.4742654885028624, 0.37918237331030263)","(0.48581872536585885, 0.3692348030480472)","(0.4934694608608326, 0.36947261807801846)","(0.5003180441322862, 0.36979830119159673)","(0.4641309051246909, 0.3692915854337332)","(0.45695995617579765, 0.36957319737314337)","(0.4505865242514577, 0.3698493361056268)","(0.511793395439228, 0.3752583769651559)","(0.4429354098710146, 0.37586674302608)","(0.4893497197361259, 0.3910503866789223)","(0.46077024707427394, 0.39150864636147775)","(0.57011144603049, 0.437303504952184)","(0.3845279462687621, 0.42865805901013865)","(0.5864446875932329, 0.5127340526013943)","(0.33120388000995127, 0.4952483833669781)","(0.5995797281498674, 0.5679892885101426)","(0.2940106785797573, 0.5514534703501454)"
"(0.4748556980719933, 0.3795686893529826)","(0.4859700119578755, 0.36984783181777364)","(0.4935403459972435, 0.3701480314448164)","(0.500310912415698, 0.3704890950576409)","(0.4647227121399833, 0.3696544053671243)","(0.45770096778869634, 0.36986478329538464)","(0.451468808876051, 0.3701311699993961)","(0.511529244743027, 0.3757003954240492)","(0.44319822946628484, 0.37603949875264747)","(0.4893611444459929, 0.3914065156783257)","(0.4608203295644348, 0.39156863843644424)","(0.5699972839622232, 0.43697460297937984)","(0.3842800103284264, 0.4286664605557501)","(0.587060090128358, 0.511038147902989)","(0.33106976247333986, 0.4959140674217596)","(0.6011931575261628, 0.5672930362341289)","(0.29524106829316465, 0.5532363015454965)"
"(0.4754339581602937, 0.3798648476739586)","(0.4862711194095078, 0.3703043947130928)","(0.49377558128539223, 0.3706490482205834)","(0.5004889803888638, 0.3709985813199779)","(0.4652975830998455, 0.3699313056913567)","(0.4583627141855814, 0.3700895268461365)","(0.45220790779118225, 0.37034820530798057)","(0.5114639387541995, 0.37605511405807)","(0.44341314797634845, 0.3761794878330543)","(0.48949067888560005, 0.39169231064113985)","(0.4609674519592234, 0.39160748447849486)","(0.5700064840572422, 0.43674109177989545)","(0.38405921096568363, 0.42870196366643576)","(0.5878147463420607, 0.5097779168949261)","(0.33113947962269646, 0.49648039310406405)","(0.6027139885164362, 0.5666526001650138)","(0.2964317062240102, 0.5544421447740568)"
"(0.47599919390428325, 0.38009479867689544)","(0.4866895448494624, 0.3706357954265354)","(0.4941398436789747, 0.37100879260987957)","(0.5008131003741063, 0.37136089239087144)","(0.4658565304843419, 0.3701426488953036)","(0.45895812203695174, 0.3702637095412452)","(0.4528284271905474, 0.37051611065447754)","(0.5115604681290669, 0.37633727706256725)","(0.4436004586639382, 0.3762941492465272)","(0.4897198202935133, 0.39192362563871286)","(0.4612025473362363, 0.3916380404731334)","(0.5701211128896213, 0.4365863832352043)","(0.38387618851272676, 0.42875040890453586)","(0.5886452179966548, 0.508893703038876)","(0.3313621480912318, 0.49694668360940225)","(0.6041078536243705, 0.5660784167426451)","(0.29756064494173007, 0.555173156214205)"
"(0.4765503304404813, 0.38028249276545784)","(0.4871927854064461, 0.3708733376506325)","(0.49459781013168663, 0.37126038881726486)","(0.5012441246937483, 0.37161016068258496)","(0.466400566773537, 0.37030879746783857)","(0.4595001180133065, 0.3704036128965569)","(0.45335497326784213, 0.3706505546619843)","(0.5117818235239504, 0.37656162863289006)","(0.4437804547917871, 0.37639092197229274)","(0.49003006590829873, 0.39211631474239295)","(0.46151654877307, 0.39167316240586336)","(0.5703232370334352, 0.43649388922678)","(0.38374158330174896, 0.4287976368323907)","(0.5894880668544544, 0.5083258497965087)","(0.3316868845121567, 0.49731226213328494)","(0.6053403853536484, 0.5655809224068703)","(0.29860593701576016, 0.5555314920443201)"
"(0.4770862929054084, 0.38045188034331123)","(0.48774833820916663, 0.37104832507791574)","(0.49511415759722494, 0.37143696104730006)","(0.5017429056701137, 0.37178051860738265)","(0.46693070444749607, 0.37045011389783566)","(0.46000162878514544, 0.3705255184279185)","(0.45381215221676335, 0.3707672059535988)","(0.5120909955951728, 0.3767429129643882)","(0.44397342962262887, 0.37647724498957824)","(0.49040291296852323, 0.39228623202352897)","(0.4619003893473219, 0.39172570626218917)","(0.5705949230627592, 0.43644702163609683)","(0.38366603566494384, 0.42882948801234144)","(0.5902798546777751, 0.5080147006294955)","(0.33206280551868234, 0.4975764518712239)","(0.6063772162079546, 0.5651705535975382)","(0.2995456350155372, 0.5556193084427816)"
"(0.4775380074005315, 0.3806917207502271)","(0.4882510244012723, 0.3712447622578191)","(0.49558658185816695, 0.37161973257720693)","(0.5022068772560522, 0.3719535211583126)","(0.46739170010829123, 0.3706336625806109)","(0.4604248953310214, 0.3706869801163403)","(0.4541882507867756, 0.3709225473981923)","(0.5124186521921413, 0.37692347085559363)","(0.44420935397659517, 0.37658554093265395)","(0.4907710153461903, 0.39249944332596387)","(0.4623119868598628, 0.39185233674683023)","(0.5709011179583902, 0.43640125325787693)","(0.3836968723849547, 0.4288054197540381)","(0.5909085383504156, 0.50785827622825)","(0.33238443822571795, 0.49771300138849306)","(0.6071629065733702, 0.5648451899037229)","(0.300289657843975, 0.5555572887678536)"
"(0.4780615918286206, 0.38092247957672076)","(0.4888021112321984, 0.3714125188358466)","(0.49609600552868005, 0.3717698681326743)","(0.5027001773838685, 0.37209403855261625)","(0.46792038670786706, 0.37080482225040257)","(0.4609168707490811, 0.37083526570480263)","(0.45462335538475207, 0.3710617459876284)","(0.5127620508065045, 0.37707662408724335)","(0.4445247846049872, 0.3766739534470315)","(0.49120046764542835, 0.3926832720394188)","(0.46280897400040266, 0.39200392893422265)","(0.5712479073684544, 0.4363958743902362)","(0.3837767124592849, 0.4287450740109522)","(0.5913075758860674, 0.507887969344925)","(0.33266585752680655, 0.4977791254475966)","(0.607571142258901, 0.5646838169275754)","(0.30095181230342816, 0.5555196544785056)"
"(0.47861948713556135, 0.3811571454251571)","(0.48936407264573967, 0.3715772889988691)","(0.4966105078900621, 0.3719138959487843)","(0.5031941694257431, 0.3722272288132389)","(0.46848033344273343, 0.3709805329918591)","(0.4614455735349998, 0.370987748349464)","(0.45508385058883283, 0.371206380617925)","(0.5131150259004618, 0.3772036529782221)","(0.44491066257436884, 0.3767631494359822)","(0.49170303768489293, 0.3928565031442895)","(0.4634111156830431, 0.3921648134023724)","(0.5716272013170748, 0.4363850304435748)","(0.38394081161850346, 0.42865311453392546)","(0.591534187465838, 0.5079743952462179)","(0.33288285844809595, 0.4977180045662514)","(0.607788045089563, 0.5646164174124367)","(0.30144722443638494, 0.5555074580343743)"
"(0.4791407902618676, 0.3813964985745223)","(0.4898715629166389, 0.3717406080180401)","(0.49707068075666994, 0.3720523633740173)","(0.5036344000231703, 0.37235301017483435)","(0.4690131916727507, 0.371161915413984)","(0.46195934799723515, 0.3711464211240523)","(0.4555342389848136, 0.3713584397083682)","(0.5134354158714947, 0.37730833749115406)","(0.44534550089658376, 0.3768560227814262)","(0.49221888948709647, 0.39301990879165627)","(0.4640442541429223, 0.3923410569732292)","(0.5720395458328152, 0.43635419302887113)","(0.384213113770897, 0.42850668412266446)","(0.5915818675692556, 0.5080740248962449)","(0.33302100770401305, 0.49756372746054217)","(0.6078080056986344, 0.564626096845508)","(0.30176463438358686, 0.555462449441702)"
