nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
"(0.47379371523857117, 0.3792513906955719, 0.9999867677688599)","(0.4854201078414917, 0.369285523891449, 0.9999681711196899)","(0.49312496185302734, 0.3695107698440552, 0.9999663829803467)","(0.5000125169754028, 0.3698311448097229, 0.9999690055847168)","(0.4637233316898346, 0.3693466782569885, 0.9999467134475708)","(0.4565649926662445, 0.3696333169937134, 0.9999322891235352)","(0.4502487778663635, 0.3699182868003845, 0.9999244213104248)","(0.511650800704956, 0.37527403235435486, 0.9999328851699829)","(0.44283485412597656, 0.37592247128486633, 0.9998794794082642)","(0.489085853099823, 0.39112111926078796, 0.999992847442627)","(0.46050193905830383, 0.391532838344574, 0.9999866485595703)","(0.5700323581695557, 0.4371870756149292, 0.9999967813491821)","(0.3846256136894226, 0.42863360047340393, 0.9999368190765381)","(0.5866379141807556, 0.5125380754470825, 0.9938074946403503)","(0.3311254382133484, 0.49521762132644653, 0.9857414960861206)","(0.5999294519424438, 0.5677309632301331, 0.997713565826416)","(0.29374101758003235, 0.5512231588363647, 0.9838521480560303)"
"(0.47537586092948914, 0.379442423582077, 0.9999874830245972)","(0.48639705777168274, 0.36974483728408813, 0.9999698996543884)","(0.4939022362232208, 0.3700617849826813, 0.9999681115150452)","(0.500626802444458, 0.37041106820106506, 0.9999704957008362)","(0.4651872515678406, 0.3695537745952606, 0.9999502301216125)","(0.45816296339035034, 0.3697628378868103, 0.9999369382858276)","(0.45187684893608093, 0.37001755833625793, 0.9999298453330994)","(0.5116506218910217, 0.37566688656806946, 0.9999356269836426)","(0.4433195888996124, 0.3759552836418152, 0.9998881816864014)","(0.4896296262741089, 0.39128032326698303, 0.9999931454658508)","(0.4610821008682251, 0.3915225863456726, 0.9999874234199524)","(0.5700564980506897, 0.43713027238845825, 0.9999968409538269)","(0.38414791226387024, 0.42870864272117615, 0.9999402165412903)","(0.5868724584579468, 0.5112954378128052, 0.9936834573745728)","(0.33116504549980164, 0.4960095286369324, 0.9862103462219238)","(0.600703239440918, 0.5675560832023621, 0.9976896643638611)","(0.29563719034194946, 0.5534325838088989, 0.9841049313545227)"
"(0.47586262226104736, 0.379862517118454, 0.9999880194664001)","(0.48664572834968567, 0.37031716108322144, 0.9999710917472839)","(0.49411043524742126, 0.370672345161438, 0.9999692440032959)","(0.5007926225662231, 0.37102439999580383, 0.9999714493751526)","(0.46564915776252747, 0.36992496252059937, 0.9999529123306274)","(0.45869117975234985, 0.37007415294647217, 0.9999404549598694)","(0.4524743854999542, 0.370327889919281, 0.9999339580535889)","(0.511634886264801, 0.3760589361190796, 0.9999371767044067)","(0.4434812664985657, 0.37615522742271423, 0.9998947381973267)","(0.4897502660751343, 0.3916913568973541, 0.9999933242797852)","(0.46124139428138733, 0.3915999233722687, 0.9999879598617554)","(0.5700964331626892, 0.43680521845817566, 0.9999969005584717)","(0.3839876055717468, 0.42871424555778503, 0.9999428987503052)","(0.5877026319503784, 0.5099015235900879, 0.9936200380325317)","(0.33122649788856506, 0.49643439054489136, 0.9865542054176331)","(0.6026673316955566, 0.5668786764144897, 0.9976668953895569)","(0.2965512275695801, 0.5547928214073181, 0.9842517375946045)"
"(0.4760957360267639, 0.3800947964191437, 0.9999884366989136)","(0.48680177330970764, 0.3706391155719757, 0.9999720454216003)","(0.4942466914653778, 0.371010959148407, 0.9999701380729675)","(0.5009166598320007, 0.37136274576187134, 0.9999722242355347)","(0.4659291207790375, 0.3701496124267578, 0.9999551773071289)","(0.4590122401714325, 0.37026864290237427, 0.9999434947967529)","(0.4528600573539734, 0.3705228567123413, 0.9999375343322754)","(0.5116372108459473, 0.3763379454612732, 0.9999382495880127)","(0.4436308741569519, 0.37629401683807373, 0.9999002814292908)","(0.4898088872432709, 0.3919253647327423, 0.9999934434890747)","(0.46130210161209106, 0.3916354477405548, 0.999988317489624)","(0.5701807737350464, 0.4365876019001007, 0.9999969601631165)","(0.3839380741119385, 0.42873233556747437, 0.9999451637268066)","(0.5884618759155273, 0.508972704410553, 0.993548572063446)","(0.3313905894756317, 0.49686917662620544, 0.9868025183677673)","(0.603908896446228, 0.5662345290184021, 0.9976373910903931)","(0.2974546253681183, 0.5551443696022034, 0.9842995405197144)"
"(0.4761410057544708, 0.3803551495075226, 0.9999889135360718)","(0.48684415221214294, 0.3709336817264557, 0.9999731779098511)","(0.49428117275238037, 0.37130364775657654, 0.9999711513519287)","(0.5009509921073914, 0.371645450592041, 0.9999731779098511)","(0.4660433530807495, 0.3703814148902893, 0.9999575614929199)","(0.4591485857963562, 0.3704787492752075, 0.9999465942382812)","(0.4530448317527771, 0.37072911858558655, 0.9999411702156067)","(0.5116361379623413, 0.37658220529556274, 0.9999399185180664)","(0.4436964988708496, 0.3764498829841614, 0.9999061226844788)","(0.489804744720459, 0.3921745717525482, 0.999993622303009)","(0.4613023102283478, 0.3917144536972046, 0.9999887347221375)","(0.5702515244483948, 0.43641170859336853, 0.9999970197677612)","(0.38376641273498535, 0.4287680983543396, 0.9999474883079529)","(0.5895305871963501, 0.507982075214386, 0.993520200252533)","(0.33150672912597656, 0.4973297119140625, 0.9870575666427612)","(0.6055550575256348, 0.565320611000061, 0.9976211190223694)","(0.29855960607528687, 0.5552783608436584, 0.9843856692314148)"
"(0.4764697551727295, 0.38059207797050476, 0.99998939037323)","(0.48714447021484375, 0.37113770842552185, 0.9999741911888123)","(0.4945821762084961, 0.37151291966438293, 0.9999721050262451)","(0.5012689232826233, 0.3718508780002594, 0.9999740123748779)","(0.466405987739563, 0.3705349862575531, 0.9999597072601318)","(0.45952585339546204, 0.3706077039241791, 0.9999494552612305)","(0.4534415602684021, 0.37085390090942383, 0.9999443888664246)","(0.5118572115898132, 0.37678346037864685, 0.9999414086341858)","(0.44383078813552856, 0.37655019760131836, 0.9999114274978638)","(0.49002277851104736, 0.39241138100624084, 0.9999938011169434)","(0.4615028202533722, 0.39182519912719727, 0.9999891519546509)","(0.5705204010009766, 0.4363367259502411, 0.999997079372406)","(0.38372066617012024, 0.42881157994270325, 0.9999496936798096)","(0.5906409621238708, 0.5078715682029724, 0.9935160875320435)","(0.3318832218647003, 0.49764347076416016, 0.9873985648155212)","(0.6067932844161987, 0.5647710561752319, 0.997604489326477)","(0.29925230145454407, 0.5553808212280273, 0.9845845103263855)"
"(0.47748318314552307, 0.3805789649486542, 0.9999898076057434)","(0.48824670910835266, 0.37113529443740845, 0.9999750256538391)","(0.49559828639030457, 0.37151673436164856, 0.999972939491272)","(0.5022252202033997, 0.37185728549957275, 0.9999747276306152)","(0.4673819839954376, 0.3705339729785919, 0.9999615550041199)","(0.46042925119400024, 0.37060418725013733, 0.999951958656311)","(0.45420700311660767, 0.3708443343639374, 0.9999472498893738)","(0.5124072432518005, 0.3768865466117859, 0.9999426603317261)","(0.44421306252479553, 0.3765411674976349, 0.999916136264801)","(0.49070480465888977, 0.39241185784339905, 0.9999939203262329)","(0.4621974527835846, 0.39176228642463684, 0.9999895095825195)","(0.5708317160606384, 0.4364239573478699, 0.999997079372406)","(0.38370993733406067, 0.42884430289268494, 0.9999515414237976)","(0.5911804437637329, 0.5080005526542664, 0.9934754967689514)","(0.3326413333415985, 0.49772337079048157, 0.9876347184181213)","(0.6072950959205627, 0.5648103952407837, 0.9975770711898804)","(0.30031171441078186, 0.5555084943771362, 0.9846085906028748)"
"(0.4784865081310272, 0.3806230425834656, 0.9999901652336121)","(0.48926183581352234, 0.37119612097740173, 0.9999758005142212)","(0.4965039789676666, 0.3715783953666687, 0.999973714351654)","(0.5030698776245117, 0.3719092011451721, 0.9999753832817078)","(0.4682673215866089, 0.37060391902923584, 0.9999632239341736)","(0.46120840311050415, 0.3706592917442322, 0.9999542236328125)","(0.4548202455043793, 0.3708920180797577, 0.9999498724937439)","(0.512907862663269, 0.37695422768592834, 0.9999439120292664)","(0.4445247948169708, 0.376567006111145, 0.9999206066131592)","(0.49148768186569214, 0.39245882630348206, 0.9999940395355225)","(0.4630749821662903, 0.39177820086479187, 0.9999898672103882)","(0.5711920857429504, 0.43645286560058594, 0.999997079372406)","(0.3837128281593323, 0.4288467764854431, 0.9999532699584961)","(0.5913710594177246, 0.5080487728118896, 0.9933419823646545)","(0.3328951597213745, 0.49780118465423584, 0.9878621101379395)","(0.6075902581214905, 0.5648224353790283, 0.9975188970565796)","(0.3011672794818878, 0.555479884147644, 0.9846122860908508)"
"(0.47897419333457947, 0.3810161352157593, 0.9999904036521912)","(0.48972585797309875, 0.37146997451782227, 0.9999763369560242)","(0.49694615602493286, 0.37181633710861206, 0.999974250793457)","(0.5035133361816406, 0.372124046087265, 0.999975860118866)","(0.4687559902667999, 0.37089088559150696, 0.9999644756317139)","(0.46168872714042664, 0.37090131640434265, 0.999955952167511)","(0.4552502930164337, 0.3711138367652893, 0.9999518990516663)","(0.5133605599403381, 0.3771415054798126, 0.9999447464942932)","(0.44491270184516907, 0.376700222492218, 0.9999242424964905)","(0.4919774830341339, 0.3927539587020874, 0.9999940991401672)","(0.4636429250240326, 0.3920838236808777, 0.9999901056289673)","(0.5718933343887329, 0.43650829792022705, 0.999997079372406)","(0.38381427526474, 0.4286870062351227, 0.9999549388885498)","(0.5914310216903687, 0.5080749988555908, 0.9931774139404297)","(0.33294761180877686, 0.4977669417858124, 0.9880526065826416)","(0.6077144742012024, 0.564788281917572, 0.9974633455276489)","(0.3017301559448242, 0.5554644465446472, 0.9846055507659912)"
"(0.47912004590034485, 0.3817177414894104, 0.999990701675415)","(0.48985257744789124, 0.3719624876976013, 0.9999769926071167)","(0.49705731868743896, 0.37224918603897095, 0.9999749064445496)","(0.5036336183547974, 0.37254780530929565, 0.9999764561653137)","(0.4689791798591614, 0.37136590480804443, 0.9999657869338989)","(0.46190693974494934, 0.371320903301239, 0.9999576210975647)","(0.4554915428161621, 0.3715221583843231, 0.9999538660049438)","(0.5134925842285156, 0.37746483087539673, 0.9999459981918335)","(0.44530484080314636, 0.37696075439453125, 0.9999277591705322)","(0.4921784996986389, 0.3932682275772095, 0.9999942183494568)","(0.4640287160873413, 0.3925922214984894, 0.9999904036521912)","(0.5720471739768982, 0.4364161193370819, 0.9999971389770508)","(0.3841352164745331, 0.4284692108631134, 0.9999563694000244)","(0.5914736986160278, 0.5081499814987183, 0.9930411577224731)","(0.33295291662216187, 0.4975501298904419, 0.9882047176361084)","(0.607664167881012, 0.5647203326225281, 0.997418224811554)","(0.3017785847187042, 0.5554433465003967, 0.9845260977745056)"
