nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
"(0.6603822203782888, 0.5464175810347075)","(0.6716851754622026, 0.5506855303590948)","(0.6742768425207871, 0.5534739019153834)","(0.6771036173913862, 0.5565711684993931)","(0.6669047412338788, 0.5467962226667605)","(0.6659493904847367, 0.5466049213509461)","(0.6650370942962752, 0.5464132607400003)","(0.6833411796943292, 0.5779483601763529)","(0.664669361147847, 0.5596211302530516)","(0.6571373060033037, 0.5565100320569284)","(0.6518262162075176, 0.5526642515942768)","(0.6829878875425647, 0.6256648310414561)","(0.5940297008394362, 0.5932178768244658)","(0.6366058679727407, 0.693687114265415)","(0.4963127822725925, 0.633987285040475)","(0.5822911495928998, 0.7503284470184698)","(0.4239614207844634, 0.6082801868865539)"
"(0.6607800146916529, 0.5464763824756333)","(0.6727383616087322, 0.551124639444418)","(0.6753736438451114, 0.553875861468015)","(0.6782003011736838, 0.5569215183491475)","(0.6673669444097504, 0.5471279362698536)","(0.6662289533581769, 0.5468977431317311)","(0.6651109619574113, 0.5466224626227694)","(0.6839059312026818, 0.5776877690862106)","(0.6647234613245183, 0.5596601329483353)","(0.6574126102707601, 0.5565140088955005)","(0.6516700470364176, 0.5523807523133872)","(0.6828783079460785, 0.6236999560069372)","(0.5936765308146712, 0.5940133891739214)","(0.6358314844278188, 0.6933837820599962)","(0.49409614597167195, 0.6412657991155877)","(0.580434657060183, 0.7516852909034781)","(0.418441422960975, 0.6166377651107897)"
"(0.6610285841223799, 0.5464719724266128)","(0.6734573735501664, 0.5514131887253627)","(0.6761403476997413, 0.5541629542559734)","(0.6789859356857959, 0.5572027493190099)","(0.6676462954018777, 0.5473415333352166)","(0.6663535130329623, 0.5470917224884035)","(0.6650439232657283, 0.5467726264522348)","(0.6842521223432813, 0.5775528866927938)","(0.6644207704595196, 0.5597900111914238)","(0.6575761693063036, 0.5564911855962171)","(0.6514370715145741, 0.5521570371859003)","(0.6829687827950592, 0.6222545749101884)","(0.5930955493366804, 0.5949182847996695)","(0.6353726456493208, 0.6931275116813767)","(0.4921399494567954, 0.6466668188432991)","(0.5790614714989296, 0.7525249830770603)","(0.4132451039927823, 0.6248264865719636)"
"(0.6611540371721442, 0.5464217258500057)","(0.6738973763578148, 0.5515825996448944)","(0.676630122817202, 0.5543584563793282)","(0.6795080149229313, 0.5574273692839075)","(0.667770925518516, 0.5474630628293489)","(0.6663463237958078, 0.547209721067291)","(0.6648590941251296, 0.5468796736849494)","(0.6844097229984257, 0.5775182886279266)","(0.6638398544910628, 0.5599951060501848)","(0.6576501462426217, 0.556450141337646)","(0.651150645562263, 0.551989871374655)","(0.6832227856268139, 0.6212327526165891)","(0.5923592228016933, 0.5958832641998374)","(0.6351688246488015, 0.6928919600995826)","(0.49043617923776617, 0.6504905838649591)","(0.5780938865838351, 0.7529469069206353)","(0.4084869325508327, 0.6325537349099606)"
"(0.6611824823426201, 0.5463430177081721)","(0.674113535102987, 0.5516642936459788)","(0.676896137930019, 0.5544856439381491)","(0.6798140328802986, 0.5576078861187668)","(0.667768966067921, 0.547518573718749)","(0.6662306399334285, 0.5472746005147212)","(0.6645795904395185, 0.5469595257774656)","(0.6844087030504135, 0.5775585505234332)","(0.663059279357359, 0.5602597585924858)","(0.6576567042124021, 0.556399455298355)","(0.65083412509976, 0.5518760200424908)","(0.6836037899786499, 0.620538553991518)","(0.5915400176059395, 0.5968590278725527)","(0.6351594944378158, 0.6926507842846406)","(0.48897682182438756, 0.6530373338219171)","(0.5774541959895954, 0.7530504458156221)","(0.4042813773060735, 0.6395268937646653)"
"(0.6611400281354833, 0.5462532229634721)","(0.6741610148569935, 0.5516896921715826)","(0.6769915617707185, 0.5545677930325074)","(0.6799514835531075, 0.5577568076985155)","(0.6676685483583495, 0.5475341149699171)","(0.6660297157325403, 0.5473092224770226)","(0.6642285281127998, 0.5470281041863371)","(0.6842790323815439, 0.577648248011139)","(0.6621576109966212, 0.5605683098861955)","(0.6576180063483335, 0.5563477066569129)","(0.6505108660473427, 0.5518122483522476)","(0.6840752693878758, 0.6200760439003555)","(0.5907104001456498, 0.5977962763159437)","(0.6352841280279196, 0.6923776412065783)","(0.48775386372646357, 0.654607308355524)","(0.5770646933909075, 0.7529349831434413)","(0.4007429069294527, 0.6454533467759633)"
"(0.6610447153066992, 0.5461822306359576)","(0.6741034269055023, 0.5516874709607293)","(0.6769761672386772, 0.5546226607058166)","(0.679972430625997, 0.557878681968699)","(0.6674868724285041, 0.5475355039387606)","(0.6657518048386488, 0.5473357978122785)","(0.6638109233829539, 0.5471013512088991)","(0.6840421312894591, 0.5777321295304745)","(0.6612357508330371, 0.5609010118982465)","(0.6575485980594089, 0.5563199463146284)","(0.6502003828128748, 0.5518016576211225)","(0.6846092107134836, 0.6195573870674449)","(0.5899853789723015, 0.5985424129557233)","(0.6356101370913735, 0.6919087611989834)","(0.4867217967977068, 0.6554004391590212)","(0.5769545740180928, 0.7526704871849041)","(0.39812787804570315, 0.649845980125153)"
"(0.6609455616601989, 0.5462119270871582)","(0.6739953420101082, 0.5518180041602175)","(0.6769076633008779, 0.5548076967259399)","(0.6799283687607128, 0.558126068754353)","(0.6672614489124109, 0.5476442023868617)","(0.6654280789526484, 0.5474643120954654)","(0.6633622248967503, 0.5472696447150147)","(0.6837285173522857, 0.5779050145393776)","(0.6603471674285581, 0.5612948345137654)","(0.657515437314006, 0.5563711626824255)","(0.6499499949541973, 0.551892080368141)","(0.685128833586243, 0.6193776637802049)","(0.5894116899628197, 0.5993020527568466)","(0.6356937144741881, 0.6915028805221448)","(0.48588715531887255, 0.6562175923016258)","(0.5767424706812518, 0.7525440226623801)","(0.3962069740801155, 0.651616452874005)"
"(0.6608964567417879, 0.5462126253923903)","(0.6739285845300826, 0.5519024314302398)","(0.6768722618932228, 0.5549273895217001)","(0.6798962149030972, 0.5582744632011817)","(0.6670888296929843, 0.5477347993628419)","(0.6651664683313094, 0.5475846508166184)","(0.6630030518923065, 0.54743751001247)","(0.6834049947334073, 0.5780434204148259)","(0.6596530038160058, 0.5616683558428494)","(0.657502387509203, 0.5563586366760159)","(0.6498140377320346, 0.5519612317596572)","(0.6855991730045342, 0.6193245663231638)","(0.589023208840467, 0.5998496821710293)","(0.635617867216365, 0.691104810832543)","(0.4854096261771419, 0.6567234619236229)","(0.5764529267391137, 0.7524873660160961)","(0.3955195589221171, 0.6513386397928638)"
"(0.6608210080987105, 0.546126595882826)","(0.6738233817762999, 0.5519007398531999)","(0.6767787199753996, 0.5549382695229192)","(0.6797947652967953, 0.558283215358264)","(0.6668657190871976, 0.5477638287699873)","(0.6648453421248159, 0.5476485337966539)","(0.6625722489712691, 0.5475471519923722)","(0.6830857730967752, 0.5780003889179465)","(0.6589524826525543, 0.5619114820773796)","(0.6574838808922236, 0.5562521808353071)","(0.649646248711852, 0.5519555251359396)","(0.6860695881443439, 0.6186128767220304)","(0.5889526008170258, 0.6001131078857932)","(0.6356697671619065, 0.6905081662542629)","(0.4854808399727305, 0.6575644387231854)","(0.5762878761980652, 0.7524269612241197)","(0.39627593804350625, 0.6522804081856801)"
"(0.6607498807229099, 0.5459535970832374)","(0.6737222335277473, 0.5517899920612517)","(0.6766899662973734, 0.5548152346988948)","(0.679701534184544, 0.5581302452476442)","(0.6666610374317317, 0.5477167677768194)","(0.6645644205711397, 0.5476416189631672)","(0.6622117275680433, 0.5475834285740542)","(0.6828112931518302, 0.5778079826237172)","(0.6584985236743683, 0.5620055133368319)","(0.6574735399726401, 0.5560615553166772)","(0.6495342065682237, 0.551874616485099)","(0.6864490445121477, 0.6176447623815304)","(0.5890101158257699, 0.6001040952188998)","(0.6357473874147691, 0.6898879142074332)","(0.4858271227433142, 0.6581433550183325)","(0.5762388821526297, 0.7523870002695469)","(0.39689000260024165, 0.6531346188836457)"
"(0.6606837756983898, 0.5457193554142428)","(0.6736301649144771, 0.5515794071839973)","(0.6766168061114151, 0.5545689060693588)","(0.6796306485618482, 0.5578284933294739)","(0.6664959400683864, 0.5475931501055109)","(0.6643594474225625, 0.5475578228910498)","(0.6619749966757017, 0.547535923116414)","(0.6826269389032498, 0.5774761662060854)","(0.6582955387366694, 0.5619645649458713)","(0.6574626881759498, 0.5558181589855749)","(0.64943974334877, 0.5517491111944339)","(0.6867184204099355, 0.616540598980476)","(0.5890945197541132, 0.6000317565766816)","(0.635838083037131, 0.6892576603900595)","(0.48633044687184523, 0.6588169140415607)","(0.5762741714368623, 0.7523682862172887)","(0.39809925308872296, 0.6552015780568969)"
"(0.6606343777585433, 0.5454429051814946)","(0.6735516468406016, 0.551311539325404)","(0.6765528349053902, 0.5542569916287237)","(0.6795717658418612, 0.5574549818650282)","(0.6663681841118922, 0.5474226214946856)","(0.6642032204530193, 0.5474293834957499)","(0.6617945913390415, 0.5474421591747625)","(0.6825206736862535, 0.5770700661452512)","(0.6581617100533363, 0.5618475030907951)","(0.6574555879984161, 0.5555307501123792)","(0.6493640540640963, 0.5515905846526862)","(0.6869474538278484, 0.615351935644529)","(0.5892818804943213, 0.5999389286641488)","(0.6358627411591158, 0.6887016051854857)","(0.4869885314733565, 0.6595490363650125)","(0.5762159825760735, 0.7523873259415453)","(0.3990899793334783, 0.6577733775952492)"
"(0.6606032984517963, 0.5451563202139948)","(0.6734975889012544, 0.5510269339545913)","(0.6765088065243003, 0.5539312783654765)","(0.6795332780529026, 0.5570750426857077)","(0.6662794051470471, 0.5472293129334095)","(0.6640943379113182, 0.5472754210858923)","(0.6616675885685133, 0.5473178650115764)","(0.6824626685022488, 0.5766219966339354)","(0.6580749786261371, 0.5616777401704066)","(0.6574495686239865, 0.5552386838795156)","(0.6492926135207682, 0.5514235898053463)","(0.6871153424669828, 0.6142249256025119)","(0.589389530512004, 0.5998891957434198)","(0.6358202869519778, 0.6883012281431199)","(0.4874223162938953, 0.6603049588648048)","(0.5759898832627955, 0.7524716271942884)","(0.3999457401690236, 0.6607178002248569)"
"(0.6606217453251921, 0.5448811302929781)","(0.6734925262577898, 0.5507514876919204)","(0.6765107598615985, 0.5536222851081896)","(0.679543314697027, 0.556725340150732)","(0.6662720640500401, 0.547027435891835)","(0.6640850351406992, 0.5471059796693454)","(0.6616572834950797, 0.5471702740464744)","(0.6824751243446827, 0.5761881795796493)","(0.6581136953858521, 0.5614880508198339)","(0.6574704865197771, 0.5549621359729556)","(0.64927001738604, 0.5512489433333047)","(0.6872395358997084, 0.6132819305210971)","(0.5894312576536267, 0.599676031610628)","(0.6357406873803053, 0.6880443874216873)","(0.4876202010052475, 0.6608338356018081)","(0.5756852918571538, 0.7526028671742613)","(0.40092487490816353, 0.6632467016473531)"
"(0.6606939462792916, 0.5446420027103747)","(0.6735389831460732, 0.5505151276266114)","(0.6765647026208745, 0.5533627880203152)","(0.6796086545868646, 0.5564402918437712)","(0.6663254650878476, 0.5468383011840174)","(0.6641441614199921, 0.5469387254237029)","(0.66172165720613, 0.5470140908425793)","(0.6825371323487712, 0.5757883567632229)","(0.6582065553931937, 0.5612843720229368)","(0.6575453574562975, 0.5547181970867534)","(0.6493031377003201, 0.5510763701025434)","(0.6873393991054648, 0.61250541510282)","(0.5895494494960594, 0.5992694203948099)","(0.635692111262076, 0.6878419011345014)","(0.48776758807800413, 0.6610523098276504)","(0.5753612723939636, 0.7527456215489454)","(0.40149500333901694, 0.6650227636168345)"
"(0.6607739391860443, 0.5444751028970138)","(0.6735923236066659, 0.5503671666681084)","(0.6766276298425151, 0.5532031717833952)","(0.6796853201928409, 0.5562722899697056)","(0.6663853672000926, 0.5467145076164844)","(0.6642112051134634, 0.5468315900344682)","(0.6617944743527691, 0.5469160632931558)","(0.6825890725864967, 0.5754674860647521)","(0.6582949603354195, 0.5611471681050222)","(0.6576731395332421, 0.5545398715214864)","(0.6493594922941617, 0.5509612631130897)","(0.6874191226103381, 0.6118943567598352)","(0.5896853039036832, 0.5987896941480672)","(0.6356628125919898, 0.6876616055593083)","(0.4876712775313781, 0.6610052588380593)","(0.5750837267695619, 0.7528616637338863)","(0.4017834231986875, 0.6657941148275555)"
"(0.6608547061195477, 0.5443718961346689)","(0.6736337318842798, 0.5503090253243091)","(0.6766799560515767, 0.5531415625329907)","(0.679748736617172, 0.5562118942087358)","(0.6664018418405453, 0.5466592952365932)","(0.6642205139973795, 0.5467840437288896)","(0.661795500830894, 0.5468706042616529)","(0.6826130508820787, 0.5752625543198675)","(0.6583097941114089, 0.5610630303829712)","(0.6578186996333264, 0.5544004919645682)","(0.6494175281835894, 0.5508708111889724)","(0.6874714934186794, 0.6115050431175957)","(0.5899870042756455, 0.5982148187421709)","(0.6355892104424532, 0.6875885631932539)","(0.48793912051996813, 0.6605700376706259)","(0.5748687208671404, 0.7529692537301087)","(0.40181404386922837, 0.6653297118373698)"
"(0.660941891736919, 0.5442672667803475)","(0.6736756692399526, 0.5502640805044386)","(0.6767314320955535, 0.5530912409295581)","(0.679810984846041, 0.5561523602836905)","(0.6664152613608724, 0.5466206949073964)","(0.6642228037049456, 0.5467537684596235)","(0.6617850604312974, 0.5468432296128274)","(0.6826395798118534, 0.5750560760498059)","(0.6583067503842455, 0.5609951441660362)","(0.6580207454852582, 0.554249335141172)","(0.649509304470117, 0.5507729984385717)","(0.6875926682721222, 0.611062660222844)","(0.5905275622725776, 0.5975450781675498)","(0.6354717106530173, 0.6874526097224323)","(0.4885575833854152, 0.6603918449306281)","(0.5747193946982887, 0.753065459517056)","(0.4021522477095508, 0.6651719363975095)"
"(0.6610213614010325, 0.5441736170461973)","(0.6736973621350639, 0.5502269406974466)","(0.6767722900375077, 0.5530476604864047)","(0.6798708952946, 0.55609892659532)","(0.6663560861752043, 0.5465896014289157)","(0.6641303437017352, 0.546730635049461)","(0.661650994024078, 0.5468238708856235)","(0.6826769938835746, 0.5748021356709365)","(0.6582236791546264, 0.5609197359540814)","(0.6582648872217669, 0.5541029344627642)","(0.6496180597440916, 0.5506939931071455)","(0.6878155583824048, 0.6103757159971148)","(0.5912316409580092, 0.5968233895746435)","(0.6355724645939198, 0.6870690109012858)","(0.4893170513890017, 0.6602747259718014)","(0.5746727777527775, 0.7530803701260722)","(0.40142675192206145, 0.6641523700494047)"
"(0.661040998422184, 0.5440787113074113)","(0.6736528494141333, 0.5501776307057124)","(0.6767630881362876, 0.5529896045898236)","(0.6798957240331438, 0.556025542579332)","(0.6661559240523489, 0.5465530020929451)","(0.6638686876474853, 0.5467032356695707)","(0.6613170842190736, 0.5468033909241926)","(0.6827061973807431, 0.5744213411858043)","(0.658011575956724, 0.5608310185390208)","(0.6585002658250463, 0.5539637842934183)","(0.6496957183439984, 0.5506309168044238)","(0.6881260452292752, 0.609428819937585)","(0.5921652166993481, 0.5960757633744989)","(0.6358772418993628, 0.6864580292523894)","(0.49032505770107637, 0.6602248675895475)","(0.5747004059644858, 0.752996475129696)","(0.4012881533388222, 0.6625534080681004)"
"(0.6610625597424733, 0.5439829950010315)","(0.6736345739909277, 0.5501358495169876)","(0.6767680433802408, 0.5529407964441894)","(0.6799233334881456, 0.5559649399388376)","(0.6660247590992014, 0.5465179356661722)","(0.6636974697624345, 0.5466753140196112)","(0.6610988603605271, 0.5467819124112885)","(0.6827300842547487, 0.574151106786618)","(0.657836585194916, 0.5607573862398155)","(0.6586984911442928, 0.5538365365741982)","(0.6497724827352951, 0.5505513487718057)","(0.688436992240676, 0.6085306300427821)","(0.5929268901442605, 0.5953550750003285)","(0.6363286809487789, 0.6856879787845227)","(0.4914233546295932, 0.6601580989944367)","(0.5748089119826731, 0.7527544854126349)","(0.40153473212724605, 0.6604243669754434)"
