nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
"(0.6602497100830078, 0.5462586879730225, 0.9995892643928528)","(0.6715440154075623, 0.5504406094551086, 0.9997246861457825)","(0.6741358041763306, 0.5532177090644836, 0.9996349811553955)","(0.6769774556159973, 0.5563088059425354, 0.9997169375419617)","(0.6667612195014954, 0.5466181635856628, 0.9991412162780762)","(0.6658124923706055, 0.546436607837677, 0.9985530972480774)","(0.6648903489112854, 0.5462604761123657, 0.9993448853492737)","(0.683297336101532, 0.5778288245201111, 0.9994874000549316)","(0.6645532846450806, 0.5594580173492432, 0.9990319013595581)","(0.6570037007331848, 0.5563550591468811, 0.9997609257698059)","(0.6516604423522949, 0.5525029897689819, 0.9992976188659668)","(0.6829649209976196, 0.6249541640281677, 0.9999995231628418)","(0.5941509008407593, 0.5927633047103882, 0.9992830157279968)","(0.637287437915802, 0.6934431195259094, 0.9532508850097656)","(0.4970332086086273, 0.6322551369667053, 0.04633786901831627)","(0.5831207036972046, 0.7498607635498047, 0.9525155425071716)","(0.4235480725765228, 0.6105520129203796, 0.2754985988140106)"
"(0.6608551144599915, 0.5467113852500916, 0.9996144771575928)","(0.6727952361106873, 0.5515002608299255, 0.9997422695159912)","(0.6754449009895325, 0.5542623400688171, 0.9996589422225952)","(0.6782751083374023, 0.5573146939277649, 0.999735414981842)","(0.6674372553825378, 0.5474027991294861, 0.9991945028305054)","(0.6663012504577637, 0.5471517443656921, 0.9986438751220703)","(0.6652026772499084, 0.5468431115150452, 0.9993841052055359)","(0.6839401721954346, 0.5778349041938782, 0.999521017074585)","(0.6648044586181641, 0.5598353743553162, 0.9990870356559753)","(0.6575710773468018, 0.55677330493927, 0.9997759461402893)","(0.6517860889434814, 0.5526337623596191, 0.9993377327919006)","(0.6829068660736084, 0.6243845224380493, 0.9999995231628418)","(0.5934522151947021, 0.5947952270507812, 0.9992609620094299)","(0.6350271105766296, 0.6936072111129761, 0.9522688984870911)","(0.49307385087013245, 0.6441580653190613, 0.04523113742470741)","(0.5795934200286865, 0.7522344589233398, 0.9512759447097778)","(0.41814345121383667, 0.6160447001457214, 0.268502801656723)"
"(0.6613402366638184, 0.546563982963562, 0.9996421337127686)","(0.6738193035125732, 0.5515036582946777, 0.9997614026069641)","(0.6765061616897583, 0.5542687773704529, 0.9996849298477173)","(0.6793136596679688, 0.5573187470436096, 0.9997551441192627)","(0.6680395603179932, 0.547408938407898, 0.9992534518241882)","(0.6667656302452087, 0.5471678972244263, 0.9987453818321228)","(0.6655126214027405, 0.5468633770942688, 0.9994283318519592)","(0.6843587160110474, 0.5777989625930786, 0.9995573163032532)","(0.6648781299591064, 0.5600130558013916, 0.9991512894630432)","(0.6577243208885193, 0.5565298795700073, 0.999792218208313)","(0.6518388986587524, 0.552234947681427, 0.9993826150894165)","(0.6828950047492981, 0.6239098310470581, 0.9999995231628418)","(0.5928905606269836, 0.5951479077339172, 0.9992548227310181)","(0.6344795823097229, 0.6936590671539307, 0.9526158571243286)","(0.49152514338493347, 0.646491527557373, 0.04462873190641403)","(0.5780182480812073, 0.7529491782188416, 0.9499056935310364)","(0.4140481948852539, 0.6178779602050781, 0.2591495215892792)"
"(0.661037266254425, 0.5463423728942871, 0.9996639490127563)","(0.6737870573997498, 0.5515003204345703, 0.9997746348381042)","(0.6764588356018066, 0.5542713403701782, 0.9997034668922424)","(0.6793084144592285, 0.5573288202285767, 0.9997684359550476)","(0.6675587296485901, 0.547400176525116, 0.9992949366569519)","(0.6660431623458862, 0.5471512675285339, 0.9988183379173279)","(0.6644200682640076, 0.546827495098114, 0.999459981918335)","(0.6843386292457581, 0.577198326587677, 0.9995854496955872)","(0.6631799936294556, 0.5599262714385986, 0.9992020726203918)","(0.6575661897659302, 0.5563598275184631, 0.9998049736022949)","(0.6508615016937256, 0.551909327507019, 0.9994202852249146)","(0.6834395527839661, 0.6197009086608887, 0.9999995231628418)","(0.5928961038589478, 0.5955415368080139, 0.9992756843566895)","(0.6357503533363342, 0.692472517490387, 0.954569399356842)","(0.49115756154060364, 0.6511339545249939, 0.04522523283958435)","(0.5781959295272827, 0.7528894543647766, 0.949654757976532)","(0.41113990545272827, 0.6362749338150024, 0.25864893198013306)"
"(0.6610473394393921, 0.5462208390235901, 0.9996872544288635)","(0.6739737391471863, 0.5515222549438477, 0.9997896552085876)","(0.6767628192901611, 0.554344892501831, 0.9997241497039795)","(0.6797100305557251, 0.5574793815612793, 0.9997836351394653)","(0.6676315069198608, 0.5474065542221069, 0.999341607093811)","(0.6661026477813721, 0.5471618175506592, 0.9988988637924194)","(0.6644492745399475, 0.546844482421875, 0.9994946122169495)","(0.6843266487121582, 0.5775158405303955, 0.9996141791343689)","(0.6631401181221008, 0.5600625872612, 0.9992535710334778)","(0.6575661301612854, 0.5563049912452698, 0.9998172521591187)","(0.650773286819458, 0.5517237186431885, 0.9994551539421082)","(0.68353670835495, 0.6199094653129578, 0.9999995231628418)","(0.5915529131889343, 0.5961217880249023, 0.9992760419845581)","(0.6357707977294922, 0.6924841403961182, 0.9555252194404602)","(0.48932042717933655, 0.6509572267532349, 0.045071255415678024)","(0.5782961249351501, 0.7526689171791077, 0.9483866691589355)","(0.4013444781303406, 0.6391966342926025, 0.2510770261287689)"
"(0.6610442996025085, 0.5461819171905518, 0.9997129440307617)","(0.6740430593490601, 0.5515292882919312, 0.9998063445091248)","(0.6769249439239502, 0.5543776154518127, 0.9997466802597046)","(0.6799256801605225, 0.5575398206710815, 0.9998002052307129)","(0.6676387190818787, 0.547415554523468, 0.9993939399719238)","(0.6661030054092407, 0.5471808910369873, 0.9989888668060303)","(0.664431631565094, 0.5468870997428894, 0.9995344281196594)","(0.6843266487121582, 0.5776273608207703, 0.9996458292007446)","(0.6625731587409973, 0.5604028105735779, 0.9993149638175964)","(0.657539427280426, 0.5563082098960876, 0.9998312592506409)","(0.6504263877868652, 0.5517412424087524, 0.9994972944259644)","(0.6838676333427429, 0.6200782060623169, 0.9999995231628418)","(0.590308427810669, 0.5978776216506958, 0.9993169903755188)","(0.6356954574584961, 0.6922280192375183, 0.9572599530220032)","(0.48778441548347473, 0.6538161635398865, 0.04592472314834595)","(0.5780256986618042, 0.7525613307952881, 0.9473115801811218)","(0.4008009433746338, 0.6493815779685974, 0.2448764443397522)"
"(0.6610202193260193, 0.5461796522140503, 0.999737024307251)","(0.6740216612815857, 0.5516853928565979, 0.9998219013214111)","(0.6769112348556519, 0.5546241998672485, 0.9997676610946655)","(0.6799253225326538, 0.5578856468200684, 0.9998155236244202)","(0.6674514412879944, 0.5475448966026306, 0.9994434714317322)","(0.6657204031944275, 0.5473561882972717, 0.9990739822387695)","(0.6637694239616394, 0.5471370220184326, 0.9995721578598022)","(0.6840881109237671, 0.5778672099113464, 0.9996751546859741)","(0.6610040664672852, 0.560968816280365, 0.999373733997345)","(0.6575382947921753, 0.5563144087791443, 0.9998446106910706)","(0.6501647233963013, 0.5518485307693481, 0.9995381236076355)","(0.6846669316291809, 0.6199894547462463, 0.9999995231628418)","(0.5901705622673035, 0.5990250706672668, 0.9993634819984436)","(0.6353452801704407, 0.692053496837616, 0.9587186574935913)","(0.4872579574584961, 0.6557385325431824, 0.047806765884160995)","(0.5768952369689941, 0.7525539994239807, 0.9459254741668701)","(0.3967278301715851, 0.6510642766952515, 0.24127759039402008)"
"(0.6609645485877991, 0.5461784601211548, 0.9997583627700806)","(0.6739941835403442, 0.5518131852149963, 0.9998354315757751)","(0.6768976449966431, 0.554824709892273, 0.9997860193252563)","(0.6799079775810242, 0.5581639409065247, 0.9998288154602051)","(0.6672382950782776, 0.547643780708313, 0.9994869828224182)","(0.6653646230697632, 0.5474807620048523, 0.9991487860679626)","(0.6632420420646667, 0.5473071336746216, 0.9996050596237183)","(0.6836728453636169, 0.5779196619987488, 0.999700665473938)","(0.6599788069725037, 0.5613700151443481, 0.9994252920150757)","(0.6575258374214172, 0.5563258528709412, 0.999856173992157)","(0.6499201655387878, 0.5519198775291443, 0.9995736479759216)","(0.6851984262466431, 0.6197584867477417, 0.9999995231628418)","(0.5891477465629578, 0.5997477769851685, 0.9994019269943237)","(0.635338544845581, 0.6918546557426453, 0.9601910710334778)","(0.48541519045829773, 0.6567860841751099, 0.04882695525884628)","(0.5760529637336731, 0.7526431083679199, 0.9453518986701965)","(0.396119624376297, 0.6522971987724304, 0.23820000886917114)"
"(0.6609603762626648, 0.5461516380310059, 0.9997780919075012)","(0.6739760637283325, 0.5518519878387451, 0.9998480677604675)","(0.6768946051597595, 0.5548916459083557, 0.9998031258583069)","(0.679908275604248, 0.5582539439201355, 0.9998413920402527)","(0.6672078967094421, 0.5476803183555603, 0.9995275139808655)","(0.6652998924255371, 0.5475366115570068, 0.9992180466651917)","(0.6631426811218262, 0.5473976135253906, 0.9996358156204224)","(0.6834388375282288, 0.5779528021812439, 0.9997245669364929)","(0.6597376465797424, 0.5617160797119141, 0.9994730949401855)","(0.6575291752815247, 0.5563189387321472, 0.9998671412467957)","(0.6498839259147644, 0.5519291162490845, 0.9996070861816406)","(0.6857069134712219, 0.6193617582321167, 0.9999995231628418)","(0.5889163613319397, 0.5997400879859924, 0.9994392395019531)","(0.6355395913124084, 0.6912423372268677, 0.9618061184883118)","(0.48513033986091614, 0.6570631861686707, 0.049958206713199615)","(0.5761352181434631, 0.7526124715805054, 0.9454890489578247)","(0.3974418640136719, 0.651182234287262, 0.2355508655309677)"
"(0.6608994007110596, 0.5461469292640686, 0.9997950196266174)","(0.67392897605896, 0.551884114742279, 0.9998587369918823)","(0.6768783330917358, 0.5549360513687134, 0.9998175501823425)","(0.6798986792564392, 0.5583016872406006, 0.9998517036437988)","(0.6669855713844299, 0.5477129220962524, 0.9995620250701904)","(0.6649672389030457, 0.547580897808075, 0.9992774724960327)","(0.6626967787742615, 0.5474614500999451, 0.9996618628501892)","(0.6831532120704651, 0.5779524445533752, 0.9997446537017822)","(0.6591053605079651, 0.5618581771850586, 0.9995142817497253)","(0.6575229167938232, 0.5563152432441711, 0.9998762011528015)","(0.6497384905815125, 0.5519515872001648, 0.9996353983879089)","(0.6861127614974976, 0.6184803247451782, 0.9999995231628418)","(0.5888682007789612, 0.5998561382293701, 0.9994722604751587)","(0.6359302401542664, 0.6903175711631775, 0.9628604054450989)","(0.4850173890590668, 0.6572862863540649, 0.050991933792829514)","(0.5763021111488342, 0.7524710893630981, 0.9449411630630493)","(0.3954148590564728, 0.6510276794433594, 0.23422293365001678)"
